Customer ID,Segment,Acquisition Channel,Join Date,Last Order Date,Days Since Last Order,Total Orders,Lifetime Value ($),Avg Order Value ($),Preferred Category,Email Subscriber,Discount Sensitivity,NPS Score,Region,Age Group
CUST-1000,Loyal High-Value,Influencer,2021-07-08,2023-06-02,213,13,2464.43,288.27,Electronics,Yes,Medium,3,UK,55+
CUST-1001,At-Risk Churner,Paid Social,2021-12-28,2023-11-01,61,7,366.19,90.22,Home & Kitchen,Yes,Medium,10,UK,55+
CUST-1002,Dormant,Email Campaign,2020-05-22,2023-02-23,312,2,151.44,51.18,Sports & Outdoors,No,Low,5,Southwest,18-24
CUST-1003,Occasional Buyer,Paid Social,2019-05-08,2023-08-06,148,9,688.48,58.19,Beauty & Personal Care,Yes,Medium,1,Midwest,55+
CUST-1004,New Customer,Referral,2022-07-27,2023-08-05,149,2,133.36,66.74,Beauty & Personal Care,No,Medium,2,Southeast,55+
CUST-1005,Occasional Buyer,Influencer,2022-12-13,2023-09-20,103,10,612.25,62.94,Electronics,No,Low,7,Southwest,18-24
CUST-1006,Dormant,Referral,2019-09-01,2023-11-05,57,2,190.49,42.16,Electronics,Yes,Medium,9,Midwest,18-24
CUST-1007,At-Risk Churner,Email Campaign,2021-02-05,2023-06-05,210,3,117.68,64.39,Beauty & Personal Care,Yes,Low,2,UK,55+
CUST-1008,New Customer,Paid Social,2020-08-03,2023-04-21,255,1,141.79,44.41,Beauty & Personal Care,Yes,Low,8,Midwest,18-24
CUST-1009,Loyal High-Value,Referral,2021-07-15,2023-06-22,193,25,1858.59,161.94,Beauty & Personal Care,No,High,2,UK,25-34
CUST-1010,At-Risk Churner,Direct,2021-07-08,2023-03-18,289,7,227.5,75.99,Home & Kitchen,Yes,High,10,West,45-54
CUST-1011,New Customer,Referral,2019-04-04,2023-12-10,22,1,137.03,47.12,Home & Kitchen,No,Low,2,Canada,18-24
CUST-1012,At-Risk Churner,Organic Search,2022-02-23,2023-11-27,35,7,334.77,96.59,Sports & Outdoors,Yes,Low,9,West,55+
CUST-1013,Loyal High-Value,Organic Search,2021-10-26,2023-01-10,356,30,1947.86,250.11,Sports & Outdoors,Yes,Low,4,UK,25-34
CUST-1014,Occasional Buyer,Influencer,2020-10-18,2023-07-25,160,10,205.02,103.35,Electronics,Yes,Low,5,Southwest,25-34
CUST-1015,New Customer,Organic Search,2020-06-10,2023-02-16,319,1,131.75,45.39,Electronics,No,Low,4,Southeast,25-34
CUST-1016,Deal Hunter,Organic Search,2022-10-21,2023-03-28,279,7,177.11,77.61,Sports & Outdoors,Yes,Low,0,Canada,18-24
CUST-1017,Deal Hunter,Referral,2020-10-25,2023-05-13,233,17,149.37,37.12,Electronics,Yes,Low,3,UK,55+
CUST-1018,At-Risk Churner,Email Campaign,2021-02-27,2023-02-28,307,3,237.75,100.19,Electronics,Yes,Medium,8,Southwest,18-24
CUST-1019,New Customer,Influencer,2019-02-08,2023-05-18,228,1,72.97,38.7,Sports & Outdoors,No,Low,3,UK,55+
CUST-1020,Dormant,Influencer,2019-06-21,2023-11-22,40,2,81.78,44.4,Apparel,Yes,Medium,8,Southeast,25-34
CUST-1021,At-Risk Churner,Referral,2019-03-27,2023-01-01,365,5,387.63,84.41,Sports & Outdoors,Yes,High,2,Northeast,18-24
CUST-1022,New Customer,Direct,2021-02-17,2023-06-29,186,2,97.72,87.16,Apparel,No,High,4,Northeast,25-34
CUST-1023,Dormant,Organic Search,2021-03-20,2023-12-24,8,5,125.72,38.04,Apparel,No,High,4,Southwest,25-34
CUST-1024,At-Risk Churner,Direct,2022-10-28,2023-06-25,190,6,386.37,65.46,Home & Kitchen,No,Medium,4,Southeast,35-44
CUST-1025,Deal Hunter,Paid Social,2019-02-02,2023-12-21,11,11,329.9,59.98,Electronics,No,Medium,0,Northeast,25-34
CUST-1026,New Customer,Direct,2023-06-01,2023-11-29,33,2,119.12,63.05,Electronics,No,Low,10,Southwest,18-24
CUST-1027,Deal Hunter,Organic Search,2019-12-29,2023-12-23,9,17,513.73,47.9,Electronics,Yes,Medium,3,Southwest,18-24
CUST-1028,Occasional Buyer,Paid Social,2022-12-23,2023-07-03,182,3,642.97,118.06,Electronics,No,High,4,UK,25-34
CUST-1029,Occasional Buyer,Direct,2021-10-06,2023-12-27,5,10,778.74,53.68,Sports & Outdoors,Yes,Low,3,UK,45-54
CUST-1030,Loyal High-Value,Paid Social,2019-12-16,2023-10-10,83,39,1410.16,200.07,Sports & Outdoors,No,High,9,West,25-34
CUST-1031,Loyal High-Value,Paid Social,2020-06-15,2023-10-19,74,30,1082.14,113.01,Sports & Outdoors,No,Medium,3,UK,18-24
CUST-1032,Dormant,Referral,2021-07-18,2023-01-02,364,5,134.46,60.84,Electronics,Yes,Medium,6,Midwest,18-24
