SKU,Product Name,Competitor,Competitor Price,Comp Rating,Comp Review Count,Observation Date
SKU-1000,Wireless Earbuds,RivalMart,63.06,4.3,1109,2024-01-30
SKU-1000,Wireless Earbuds,ShopNow,76.06,3.2,1664,2024-01-23
SKU-1000,Wireless Earbuds,BestDeals,76.63,3.0,479,2024-02-25
SKU-1000,Wireless Earbuds,QuickCart,71.59,4.8,1407,2024-03-17
SKU-1001,Bluetooth Speaker,RivalMart,60.11,4.9,2485,2024-02-04
SKU-1001,Bluetooth Speaker,ShopNow,64.58,3.7,2332,2024-03-07
SKU-1001,Bluetooth Speaker,BestDeals,56.33,4.1,2209,2024-02-22
SKU-1001,Bluetooth Speaker,QuickCart,46.22,4.1,1896,2024-03-31
SKU-1002,Smart Watch,RivalMart,60.69,3.5,1138,2024-01-16
SKU-1002,Smart Watch,ShopNow,71.58,4.3,1230,2024-01-29
SKU-1002,Smart Watch,BestDeals,58.29,3.4,296,2024-02-15
SKU-1002,Smart Watch,QuickCart,64.44,4.0,1899,2024-02-19
SKU-1003,Portable Charger,RivalMart,126.85,4.0,1482,2024-03-04
SKU-1003,Portable Charger,ShopNow,135.68,2.8,1520,2024-01-21
SKU-1003,Portable Charger,BestDeals,172.87,4.1,1910,2024-01-03
SKU-1003,Portable Charger,QuickCart,131.01,4.7,1770,2024-02-18
SKU-1004,USB-C Hub,RivalMart,22.38,2.9,1859,2024-03-25
SKU-1004,USB-C Hub,ShopNow,21.9,3.5,6,2024-03-15
SKU-1004,USB-C Hub,BestDeals,14.05,4.4,408,2024-03-20
SKU-1004,USB-C Hub,QuickCart,21.62,3.8,940,2024-02-05
SKU-1005,Webcam,RivalMart,36.29,3.0,176,2024-02-04
SKU-1005,Webcam,ShopNow,23.97,3.8,2107,2024-01-20
SKU-1005,Webcam,BestDeals,30.56,2.9,592,2024-02-10
SKU-1005,Webcam,QuickCart,23.52,4.1,22,2024-01-23
SKU-1006,Mechanical Keyboard,RivalMart,118.0,2.9,388,2024-02-08
SKU-1006,Mechanical Keyboard,ShopNow,109.85,3.2,2348,2024-01-08
SKU-1006,Mechanical Keyboard,BestDeals,124.97,3.5,990,2024-03-02
SKU-1006,Mechanical Keyboard,QuickCart,113.41,3.3,2030,2024-02-14
SKU-1007,Gaming Mouse,RivalMart,123.02,3.5,2233,2024-02-06
SKU-1007,Gaming Mouse,ShopNow,110.81,3.3,868,2024-02-01
SKU-1007,Gaming Mouse,BestDeals,141.46,4.7,1702,2024-02-13
SKU-1007,Gaming Mouse,QuickCart,97.31,3.2,1196,2024-03-12
SKU-1008,LED Desk Lamp,RivalMart,69.35,4.0,1211,2024-01-12
SKU-1008,LED Desk Lamp,ShopNow,69.7,3.7,205,2024-02-21
SKU-1008,LED Desk Lamp,BestDeals,88.2,4.2,1082,2024-03-15
SKU-1008,LED Desk Lamp,QuickCart,62.87,4.1,2323,2024-02-01
